Ref,Val,Package,PosX,PosY,Rot,Side
"C10","1u","C_0402_1005Metric",8.636000,20.828000,-90.000000,bottom
"C11","220nF","C_0402_1005Metric",3.048000,19.304000,180.000000,bottom
"C12","1u","C_0402_1005Metric",1.524000,20.828000,-90.000000,bottom
"C13","1u","C_0402_1005Metric",-1.524000,20.828000,-90.000000,bottom
"C14","220nF","C_0402_1005Metric",-7.112000,19.304000,180.000000,bottom
"C15","1u","C_0402_1005Metric",-8.636000,20.828000,-90.000000,bottom
"C27","1u","C_0402_1005Metric",-8.636000,-20.828000,90.000000,bottom
"C28","220nF","C_0402_1005Metric",-3.048000,-19.304000,0.000000,bottom
"C29","1u","C_0402_1005Metric",-1.524000,-20.828000,90.000000,bottom
"C32","1u","C_0402_1005Metric",1.524000,-20.828000,90.000000,bottom
"C33","220nF","C_0402_1005Metric",7.112000,-19.304000,0.000000,bottom
"C34","1u","C_0402_1005Metric",8.636000,-20.828000,90.000000,bottom
"C35","100n","C_0402_1005Metric",-9.525000,14.605000,-135.000000,bottom
"C36","100n","C_0402_1005Metric",-15.621000,24.257000,-45.000000,bottom
"C41","100n","C_0402_1005Metric",-8.839200,-14.655800,135.000000,bottom
"C42","100n","C_0402_1005Metric",-10.210800,-13.284200,-45.000000,bottom
"C43","100n","C_0402_1005Metric",-8.890000,-10.795000,-45.000000,bottom
"C44","100n","C_0402_1005Metric",-13.284200,-7.747000,-135.000000,bottom
"C45","100n","C_0402_1005Metric",-13.360400,-4.927600,45.000000,bottom
"C46","1u","C_0402_1005Metric",-12.700000,-5.638800,45.000000,bottom
"C47","100n","C_0402_1005Metric",-14.732000,-6.426200,-135.000000,bottom
"C48","1u","C_0402_1005Metric",-14.046200,-7.112000,-135.000000,bottom
"C49","100n","C_0402_1005Metric",-14.605000,6.985000,90.000000,bottom
"C50","100n","C_0402_1005Metric",-9.779000,9.398000,135.000000,bottom
"C51","4.7u","C_0603_1608Metric",-9.144000,10.541000,135.000000,bottom
"C52","100n","C_0402_1005Metric",-7.620000,11.430000,-45.000000,bottom
"C53","2.2u","C_0603_1608Metric",-6.350000,12.700000,135.000000,bottom
"C54","100n","C_0402_1005Metric",-5.080000,13.335000,135.000000,bottom
"C55","100n","C_0402_1005Metric",6.985000,12.065000,135.000000,bottom
"C56","100n","C_0402_1005Metric",11.430000,7.493000,135.000000,bottom
"C57","1u","C_0402_1005Metric",12.141200,8.204200,135.000000,bottom
"C58","2.2u","C_0603_1608Metric",13.498952,5.651119,45.000000,bottom
"C59","100n","C_0402_1005Metric",14.388970,4.762119,-135.000000,bottom
"C60","100n","C_0402_1005Metric",13.716000,-9.525000,45.000000,bottom
"C61","1u","C_0402_1005Metric",14.503400,-10.312400,45.000000,bottom
"C62","100n","C_0402_1005Metric",7.112000,-11.099800,0.000000,bottom
"C63","100n","C_0402_1005Metric",6.731000,-15.748000,-45.000000,bottom
"C69","100n","C_0402_1005Metric",8.890000,10.146028,-135.000000,bottom
"C70","10u","C_0603_1608Metric",10.160000,8.949410,-135.000000,bottom
"C75","2.2u","C_0603_1608Metric",12.649200,-11.607800,-135.000000,bottom
"C83","1u","C_0402_1005Metric",20.828000,-8.636000,180.000000,bottom
"C84","220nF","C_0402_1005Metric",19.304000,-3.048000,90.000000,bottom
"C85","1u","C_0402_1005Metric",20.828000,-1.524000,180.000000,bottom
"C86","1u","C_0402_1005Metric",20.828000,1.524000,180.000000,bottom
"C87","220nF","C_0402_1005Metric",19.304000,7.112000,90.000000,bottom
"C88","1u","C_0402_1005Metric",20.828000,8.636000,180.000000,bottom
"C95","1u","C_0402_1005Metric",-20.828000,8.636000,0.000000,bottom
"C96","220nF","C_0402_1005Metric",-19.304000,3.048000,-90.000000,bottom
"C97","1u","C_0402_1005Metric",-20.828000,1.524000,0.000000,bottom
"C98","1u","C_0402_1005Metric",-20.828000,-1.524000,0.000000,bottom
"C99","220nF","C_0402_1005Metric",-19.304000,-7.112000,-90.000000,bottom
"C100","1u","C_0402_1005Metric",-20.828000,-8.636000,0.000000,bottom
"D1","D_Schottky","D_SOD-123",9.525000,12.681256,135.000000,bottom
"D2","D_Schottky","D_SOD-123",12.700000,9.506256,-45.000000,bottom
"J99","USB_B_Micro","USB_Micro-B_Molex-105017-0001",-22.860000,-22.860000,135.000000,bottom
